date,country,D,H,I,M,S
2021-10-12,Japan,3,0,0,117,1
2021-10-12,Sweden,1,0,0,8,0
2021-10-13,Afghanistan,1,0,0,36,0
2021-10-13,Japan,3,0,0,117,1
2021-10-13,Sweden,1,0,0,8,0
2021-10-14,Afghanistan,1,0,0,36,0
2021-10-14,Japan,3,0,0,117,1
2021-10-14,Sweden,1,0,0,8,0
2021-10-15,Afghanistan,1,0,0,36,0
2021-10-15,Japan,3,0,0,117,1
2021-10-15,Sweden,1,0,0,8,0
2021-10-16,Afghanistan,1,0,0,36,0
2021-10-16,Japan,3,0,0,117,1
2021-10-16,Sweden,1,0,0,8,0
2021-10-17,Afghanistan,1,0,0,36,0
2021-10-17,Japan,3,0,0,117,1
2021-10-17,Sweden,1,0,0,8,0
2021-10-18,Afghanistan,1,0,0,36,0
2021-10-18,Japan,3,0,0,117,1
2021-10-18,Sweden,1,0,0,8,0
2021-10-19,Afghanistan,1,0,0,36,0
2021-10-19,Japan,3,0,0,117,1
2021-10-19,Sweden,1,0,0,8,0
2021-10-20,Afghanistan,1,0,0,36,0
2021-10-20,Japan,3,0,0,117,1
2021-10-20,Sweden,1,0,0,8,0
2021-10-21,Afghanistan,1,0,0,36,0
2021-10-21,Japan,3,0,0,117,1
2021-10-21,Sweden,1,0,0,8,0
2021-10-22,Afghanistan,1,0,0,36,0
2021-10-22,Japan,3,0,0,117,1
2021-10-22,Sweden,1,0,0,8,0
2021-10-23,Afghanistan,1,0,0,36,0
2021-10-23,Japan,3,0,0,117,1
2021-10-23,Sweden,1,0,0,8,0
2021-10-24,Afghanistan,1,0,0,36,0
2021-10-24,Japan,3,0,0,117,1
2021-10-24,Sweden,1,0,0,8,0
2021-10-25,Afghanistan,1,0,0,36,0
2021-10-25,Japan,3,0,0,118,0
2021-10-25,Sweden,1,0,0,8,0
